CONTRACT_ADDRESS,APP_NAME,VERTICAL
0x083d903646de7e14659e1eb0086477183ec7e997730b8e19722ae92ddb96dd54,Aftermath Finance,DeFi
0x085aa529acb9f4bdb3ab116b6ae2f0349abec5e5f6a746867cdb92608a4eb205,Aftermath Finance,DeFi
0x086a7a8f363ba5e09f7085161769d4899477cac4cc5c80df2cbf4f109406f141,Capybara on Sui,Gaming
0x086e1d98df5148f121686142b39a29d4eb2096effa5a4d6c173fd2df29b851ca,Bityou,Social
0x08781b38d7a6d15744e8a193845dea04c4ab0ca2458c6907a34b2aa50505a536,Pramb,DeFi
0x0878ac61071fb17ad9ddc43e76356fed4d910a29b23b757f83c521d96a12f573,Pawtato Finance,DeFi
0x089bb1379903f7a9dab24a1d603b9b4911e16d7c4fbf4e1665693f84fa08e0e2,Aftermath Finance,DeFi
0x08cd33481587d4c4612865b164796d937df13747d8c763b8a178c87e3244498f,BlueMove DEX,NFT Apps
0x08cf597e591682a0f9ca192ca2cb919e72921e6e77aa7337186c3cccd926d925,AlphaFi,DeFi
0x08d79f4d920b03d88faca1e421af023a87fbb1e4a6fd200248e6e9998d09e470,switchboard-user-facing,Oracle
0x08d87d37ba49e785dde270a83f8e979605b03dc552b5548f26fdf2f49bf7ed1b,Circle,Stablecoin
0x08e07432cd175e0d0cd6d67af5ab1511f59eaac3bcccbddafba1d8c4a24fad33,AlphaFi,DeFi
0x08e9a7e43abe8bbff4de3289e8782d9e47bc5859a8ff5ba53e39a8bd10712225,Typus Finance,DeFi
0x0905da4f4c04434fb2a98e8db8b3ed49399f1a080a5b3939574c7fc01699f115,BIRDS,GameFi
0x0926077dc103e832f72e23f6826e8663a7706993e3be9cce8072a3e77ec44997,Pawtato Finance,DeFi
0x09584fcccc62af13aeb6b656a4c9ae0e93ba7c873eb7b74069cc7c30e5093c38,Bolt Ape Yacht Club,NFT
0x0959a7135a3e96868aac57bb2ae493db76714815797349384671a62d256b1f6d,Bucket Protocol,DeFi
0x098951f83ddb5838fac3c2edd2d1afbb665c7ed93447e7fe67ccc77ff8c27f93,Mole,DeFi
0x09afb9a1c63a9bbaba650ef0a6b473b9874882cd63aab9570b99274e8f796f00,Pawtato Finance,DeFi
0x09c52ebb48706419a3754d4101c016abf2c57a48d82fe8452dde566ee693d0b5,Kriya,DeFi
0x09d082b33f11d6257bee6f9c3de6daa666a8e9fb44dcb9b6e4bdbff5dc8fa234,Scallop,DeFi
0x09ee3352719f0e16f8069263a7ca6273f13ab5096ff907be3cfb86564f7b78d8,Movescriptions,Utility
0x0a071f4976abae1a7f722199cf0bfcbe695ef9408a878e7d12a7ca87b7e582a6,STEAMM,DeFi
0x0a0d6e83196f523bb0623187d789ce602d1f63b3e7baa02b580df7ff0ccd17e0,Turbos Finance,DeFi
0x0a47803bb2865251debb87b43f4b224073f318416926cde00b872279b180237e,Haedal,DeFi
0x0a4a4835bf09029bba83319488376045102e8797a958f7e477f8b83ee3196133,Mover,Bridge
0x0a765516272f5d215ef6c48549c92f412ef52f59225d62a3db89dccd14c08f9e,Weiss Finance,DeFi
0x0a9988a03425ca0ce9db358578327decd226481f03506269cb49c4f7d4f415da,Capybara on Sui,Gaming
0x0a9b94307de472ebe7c1a24ea862eb013d954c9c003a0484e045861d05b31435,Magma Finance,DeFi
0x0aa360e85a3cf7364c1d823c9a2b978bed9d54369060d31f715e4bd6f834411a,Typus Finance,DeFi
0x0b490b62d277395afdc9b5349f93660e8672be6de9e83dca6381d300eb892e7a,Ika,Utility
0x0b572349baf4526c92c4e5242306e07a1658fa329ae93d1b9db0fc38b8a592bb,Aftermath Finance,DeFi
0x0b58d73897a3aeb80d44229ed38ed38b4e05573bbf9d99f5cd3241e64958843c,AlphaFi,DeFi
0x0b5f83106d703ebf781f634e68256d15a0668aaa30249796500258ea5cfc2edb,Jackson,
0x0b6ba9889bb71abc5fa89e4ad5db12e63bc331dba858019dd8d701bc91184d79,Bucket Protocol,DeFi
0x0b884dbc39d915f32a82cc62dabad75ca3efd3c568c329eba270b03c6f58cbd8,Switchboard,Utility
0x0b8d9039cf3277c272a3c6d129bfee5e812640a7c26eb1c605446881b67275fd,Typus Finance,DeFi
0x0b98e5c52f7923c6d24dd5736002500cbc2fe13ecda219001733d0cf537b3ae3,Artfi,NFT Apps
0x0bc33614900f37a4560cee4330963558bf7731b236a37a6a3c4c3064f9e89c4d,Aftermath Finance,DeFi
0x0bde14ccbabe5328c867e82495a4c39a3688c69943a5dc333f79029f966f0354,Move Registry,Utility
0x0c1e5ff41b4a935959894e5c91f702ca5ac41533b00d53d92067e0203a63c686,Cetus,DeFi
0x0c3fe368a5234c423f55d99badd45f1c09f0f4a468ee0403fb455d276a5dac62,AlphaFi,DeFi
0x0c473b51815fe44971225e25045a56e946a5702e94dad218c7d88b793f3a5797,MIST,Utility
0x0c4a3be43155b87e13082d178b04707d30d764279c8df0c224803ae57ca78f23,Aftermath Finance,DeFi
0x90d05c94e816f601d2f84deddf83e94feed39afeac2f1e60f99205427b07cca0,Typus Finance,DeFi
0x90e18bdfa7206d5d19df0eed869203812b608e50d07e3a49b9e9044fdedac443,STEAMM,DeFi
0x90eb795d0c923350876f6aa9acfd2e9ca6e239f89ed9d469993b09535f34708a,Typus Finance,DeFi
0x90f9eb95f62d31fbe2179313547e360db86d88d2399103a94286291b63f469ba::xo::XO,Xociety,Gaming
0x910af25860c605272f1be30dcea26df1f4470b1b76803c4bbdf7bcc0d985409e,Kai Finance,DeFi
0x910f30cbc7f601f75a5141a01265cd47c62d468707c5e1aecb32a18f448cb25a,Scallop,DeFi
0x911e7e738522c2c58f36d7059713c4d43a0d293078a54cffc598bb7c01dc6289,Typus Finance,DeFi
0x91600d48435b6d8788454b0b7a25ba0d00a79ee6466515f0383e2d22f0787ffa,FlowX Finance,DeFi
0x916d4dac48542db474f5b17e23fcccb70d0ed9100cf78558074df3c31f1d41d8,Haedal,DeFi
